Ontology,Topics,Terms,Description,GOIDs
CC,Topic_10,Key Protein Complexes and Their Functions in Cellular Processes,"Various protein complexes play crucial roles in cellular processes. The oligosaccharyltransferase (OST) complexes, such as OSTI and OSTIII, are essential for glycosylation in mammalian cells, with OSTIII having a higher affinity for ribosomes. The mitotic checkpoint complex ensures proper chromosome segregation, while the eukaryotic 48S preinitiation complex initiates translation by binding mRNA. The TTT complex stabilizes PIKK proteins, and the SUMO ligase complex facilitates protein sumoylation. Other complexes, like ferritin, store iron, and the acetylcholine-gated channel complex regulates ion flow across membranes.",GO:0034998_GO:0035000_GO:0070176_GO:0097057_GO:0005892_GO:0106068_GO:0033290_GO:0071141_GO:0110078_GO:0034673_GO:0110142_GO:0070288_GO:0008250_GO:0035866_GO:0033597_GO:0000786_GO:0033588
CC,Topic_11,Key Protein Complexes Involved in Enzyme Inhibition and DNA Repair,"Several critical protein complexes play vital roles in enzyme inhibition and DNA repair. Protein C inhibitor complexes, such as those with factors Xa, V, and thrombin, regulate coagulation by inhibiting specific serine proteases. The BRCA1-BARD1 complex is crucial for genome maintenance, with BRCA1-BARD1 and BRCA1-BARD1-BACH1 complexes involved in DNA damage response. Additionally, the NLRP3 inflammasome complex is essential for inflammatory responses, while the protein N-acetylglucosaminyltransferase complex modifies proteins through glycosylation.",GO:0036025_GO:0097182_GO:0036026_GO:0036024_GO:0097181_GO:0097180_GO:0036027_GO:0036030_GO:0097179_GO:0097183_GO:0036028_GO:0038143_GO:0036029_GO:0033557_GO:0070531_GO:0031436_GO:0070532_GO:0070552_GO:0072559_GO:0017122
CC,Topic_12,"Key Protein Complexes in Cell Signaling, DNA Repair, and Muscle Function","Key protein complexes play crucial roles across various cellular functions. The TORC1 and TORC2 complexes are integral to cell signaling and metabolism, with TORC1 activating S6K and TORC2 phosphorylating PKB. The Dbf4-dependent protein kinase complex regulates DNA replication initiation. The VCP-NPL4-UFD1 complex is essential for protein degradation. The SMN complex, including SMN and Gemin2, is vital for snRNP assembly and pre-mRNA splicing. Additionally, the cardiac myofibril complex is crucial for cardiac muscle contraction, highlighting diverse functions of these complexes.",GO:0031932_GO:0031431_GO:0034098_GO:0031931_GO:0120157_GO:0061617_GO:0033596_GO:0008091_GO:0016605_GO:0036501_GO:0031004_GO:0030893_GO:0032797_GO:0034718_GO:0070310_GO:0017109_GO:0031415_GO:0097512
CC,Topic_13,Overview of Key Protein Complexes in Cellular Signaling and Function,"Various protein complexes are essential for diverse cellular functions. Activin complexes, including Activin A, B, and AB, regulate cell growth and differentiation. Phosphatidylinositol 3-kinase (PI3K) complexes, classified into IA, IB, and III, are critical for signaling pathways related to cell survival and metabolism. The gamma-secretase complex, containing presenilin and associated subunits, is involved in cleaving transmembrane proteins like Notch. Additionally, complexes like dystroglycan and MHC class complexes play roles in muscle function and immune response, respectively.",GO:0048180_GO:0097651_GO:0005944_GO:0005943_GO:0043511_GO:0008247_GO:0035032_GO:0070765_GO:0043509_GO:0005890_GO:0016011_GO:0042824_GO:0033185_GO:0042613_GO:0070772_GO:0042611_GO:0048269_GO:0045281_GO:0005942
CC,Topic_14,Key Protein Complexes in Cellular Receptor and Signaling Pathways,"Protein complexes play critical roles in cellular signaling and function. Ionotropic glutamate receptors, such as NMDA, AMPA, and kainate receptors, are essential for neurotransmission, with each having distinct subunit compositions and functions. The transforming growth factor beta receptor complex mediates cell signaling, while the immunological synapse facilitates immune responses. Other complexes, including the insulin receptor and CatSper complex, are vital for metabolic regulation and sperm function. Each complex is tailored to its specific cellular role through unique structural and functional properties.",GO:0017146_GO:0032983_GO:0032281_GO:0008328_GO:0000939_GO:0070021_GO:0001772_GO:0032002_GO:0031264_GO:0032449_GO:0034752_GO:0008282_GO:0005899_GO:0036128_GO:0070743_GO:0070110_GO:0014802_GO:0005895_GO:0031511
CC,Topic_15,Insights into Key Protein Complexes and Their Biological Functions,"Protein complexes play diverse roles in cellular functions and development. The insulin-like growth factor (IGF) complexes, including binary and ternary forms, regulate growth and development through interactions with IGF-binding proteins. The NF-kappaB complex functions as a transcription factor, impacting gene expression by translocating to the nucleus upon activation. The cytosolic RNA export factor complex is essential for mRNA transport. Additionally, the FANCM-MHF and RecQ-topoisomerase III complexes are crucial for DNA repair and replication. Each complex is tailored to its specific biological role, highlighting their importance in cellular processes.",GO:0042568_GO:0097598_GO:0042567_GO:0035867_GO:0016942_GO:0071159_GO:0042272_GO:0034515_GO:0043033_GO:0071821_GO:0031422_GO:0046696_GO:0005834_GO:0000812_GO:0061696_GO:0005829
CC,Topic_16,Key Transcription Complexes and Their Roles in Gene Regulation,"Transcription complexes are vital for accurate gene expression. TFIID, comprising TATA-binding protein and associated factors, initiates transcription by recognizing promoter elements. RNA polymerase complexes, including I, II, and III, are responsible for synthesizing rRNA, mRNA, and tRNA, respectively. The super elongation complex and transcription elongation factors like DSIF enhance RNA polymerase II activity. Chromatin remodeling complexes such as ACF, RSF, and NURF regulate transcription by modifying nucleosome positioning. Additionally, the transcription export complex (TREX) links transcription to mRNA export, ensuring efficient gene expression and processing.",GO:0005669_GO:0005666_GO:0016591_GO:0000127_GO:0005665_GO:0110016_GO:0090537_GO:0005736_GO:0016590_GO:0009360_GO:0032783_GO:0000346_GO:0031213_GO:0090535_GO:0000126_GO:0008623_GO:0008023_GO:0016593_GO:0090536_GO:0016589_GO:0032044
CC,Topic_17,"Key Cellular Structures: Retromer Complex, Actin Filaments, and Stereocilia Dynamics","The retromer complex, including both cargo-selective and tubulation subcomplexes, plays a crucial role in retrograde transport within cells, from endosomes to the Golgi apparatus. Actin filaments and their associated structures, such as stress fibers and contractile bundles, are essential for maintaining cellular shape and function. Stereocilia, specialized actin-based protrusions in sensory cells, are involved in mechanotransduction. These structures, coupled by linking proteins, are integral to auditory and vestibular functions, highlighting the intricate interplay between cellular transport and structural dynamics.",GO:0030904_GO:0032420_GO:0016460_GO:0031674_GO:0030905_GO:0005884_GO:0032421_GO:0001725_GO:0030906_GO:0005882_GO:0002139_GO:0005856_GO:0016459_GO:0030017_GO:0097517_GO:0031430_GO:0030426_GO:0031673_GO:0002141_GO:0036284
CC,Topic_18,"Centrosomes, Spindle Poles, and Cell Division: Key Structures and Complexes","Centrosomes, consisting of centrioles and surrounding microtubule organizing material, are crucial for organizing mitotic and meiotic spindles. During cell division, centrioles organize microtubules into spindle poles, while the gamma-tubulin complex nucleates microtubules at these poles. The contractile ring, formed from actin and myosin, facilitates cytokinesis by pinching the cell in two. Septin rings also contribute to the division site by forming a tight ring structure. These components coordinate to ensure accurate chromosome segregation and cell division.",GO:0120098_GO:0032153_GO:0005814_GO:0090619_GO:0097431_GO:0005813_GO:0000922_GO:0000923_GO:0005940_GO:0005826_GO:0000930_GO:0000931_GO:0035632_GO:0061673_GO:0070652_GO:0032133_GO:0005815_GO:0072686_GO:0070938
CC,Topic_19,Key Mitochondrial Respiratory Chain Complexes and Their Functions,"Mitochondrial respiratory chain complexes are essential for cellular energy production. Complex I (NADH dehydrogenase) initiates electron transfer and proton pumping, while Complex II (succinate dehydrogenase) links the TCA cycle with the electron transport chain. Complex III (cytochrome bc1) and Complex IV (cytochrome c oxidase) further transfer electrons and pump protons to generate a proton gradient. Complexes like the pyruvate dehydrogenase and oxoglutarate dehydrogenase complexes facilitate key metabolic reactions. Together, these complexes form the respirasome, crucial for oxidative phosphorylation.",GO:0005747_GO:0045273_GO:0005749_GO:0045252_GO:0009353_GO:0045254_GO:0045251_GO:0005967_GO:0005746_GO:0070469_GO:0016507_GO:0005751_GO:0045277_GO:0005750_GO:0045283_GO:0045244_GO:0036125_GO:0030061_GO:0045271_GO:0045275
CC,Topic_20,Essential Components and Functions of Epithelial and Cellular Junctions,"Epithelial and cellular junctions play crucial roles in maintaining tissue integrity and function. The apical junction complex, including tight junctions and desmosomes, regulates cell adhesion and permeability. Hemidesmosomes anchor epithelial cells to the basal lamina, while the subapical complex is involved in cell-cell interactions in invertebrates. Specialized junctions like the tricellular tight junction and intercalated discs facilitate complex cellular interactions and mechanical coupling. Additionally, structures like focal adhesions and motile cilia contribute to cellular adhesion and movement, respectively. These components are integral to cellular organization and tissue homeostasis.",GO:0043296_GO:0030056_GO:0035003_GO:0061689_GO:0044316_GO:0014704_GO:0016323_GO:0036117_GO:0016328_GO:0097574_GO:0090733_GO:0005925_GO:0070701_GO:0005576_GO:0036057_GO:0009925_GO:0031514_GO:0005634_GO:0005903
CC,Topic_21,Spliceosomal Complexes and Ribonucleoprotein Functions in RNA Splicing,"Spliceosomal complexes are crucial for pre-mRNA splicing, involving various ribonucleoprotein (RNP) assemblies. Key complexes include U1, U2, U4, U5, and U6 snRNPs, each with specific roles in splicing. U1 snRNP initiates splice site recognition, U2 snRNP aids in branch point recognition, while U4/U6 and U5 snRNPs are involved in the catalytic steps of splicing. The box H/ACA RNP complexes, including telomerase RNP, perform pseudouridylation of RNAs. These complexes form sequentially, contributing to the precise processing of RNA transcripts.",GO:0005691_GO:0071001_GO:0005690_GO:0072588_GO:0005681_GO:0005686_GO:0097504_GO:0005685_GO:0072589_GO:0005687_GO:0090661_GO:0005682_GO:0005692_GO:0005688_GO:0120114_GO:0071011_GO:0071010_GO:0120115_GO:0071004_GO:0071012
CC,Topic_22,Membrane Structures and Vesicle Dynamics in Cellular Functions,"Membrane structures and vesicles play critical roles in cellular processes. The junctional sarcoplasmic reticulum membrane is essential for calcium release in muscle cells, while endosome-to-plasma membrane transport vesicles are key for delivering proteins and hormones to the cell surface. Membrane contact sites (MCSs) facilitate communication between organelles and the plasma membrane. Caveolae are membrane rafts involved in endocytosis, and chitosomes in fungi manage chitin synthesis. Additionally, the presynaptic active zone is crucial for neurotransmitter release, and apical plasma membrane urothelial plaques create a barrier in urothelium.",GO:0014701_GO:0070381_GO:0044232_GO:0002081_GO:0030315_GO:0070382_GO:0005901_GO:0045009_GO:0005923_GO:0044298_GO:0043229_GO:0009898_GO:0043227_GO:0043226_GO:0031253_GO:0120111_GO:0048786_GO:0120001
CC,Topic_23,Structural Components and Functions of Ciliary and Nuclear Pore Complexes,"Ciliary and nuclear pore complexes are critical for cellular function. The nuclear pore central transport channel facilitates nucleocytoplasmic transport, while the outer and inner rings of the nuclear pore complex provide structural integrity. Cilia, including photoreceptor cell cilia with 9+0 or 9+2 axonemes, have specialized structures such as the ciliary transition zone and basal body that regulate their function and assembly. In sperm, the principal and midpieces are defined by their distinct fibrous sheaths and mitochondrial arrangements, essential for motility and energy supply.",GO:0044613_GO:0031080_GO:0097228_GO:0097225_GO:0044611_GO:0036156_GO:0097545_GO:0097733_GO:0036157_GO:0001534_GO:0035869_GO:0097546_GO:0036038_GO:0036064_GO:0005879_GO:0035686_GO:0097381_GO:0097728_GO:0097732_GO:0097541
CC,Topic_24,Key Immunoglobulin Complexes and Associated Cellular Structures,"Immunoglobulin complexes such as dimeric IgA and polymeric IgM play critical roles in immune response, being present in mucosal areas and circulation. Secretory IgA, often complexed with a secretory component, protects mucosal surfaces. Various immunoglobulins (IgA, IgM, IgG, IgE, IgD) function in different compartments, including extracellular spaces and plasma membranes. Additionally, receptor complexes like Fc-epsilon RI and Fc-gamma RIII, along with cytoplasmic dynein and myosin filaments, are crucial for immune signaling and intracellular transport. These complexes ensure proper immune function and cellular organization.",GO:0071749_GO:0071750_GO:0071754_GO:0071746_GO:0071753_GO:0071735_GO:0071745_GO:0071748_GO:0071742_GO:0042571_GO:0071738_GO:0019814_GO:0071751_GO:0032998_GO:0019815_GO:0033001_GO:0005868_GO:0032982_GO:0008043_GO:0042101
CC,Topic_25,Clathrin and Adaptor Complexes in Vesicle Formation and Endocytosis,"Clathrin-coated vesicles are essential for endocytosis, with clathrin forming a polymeric coat that shapes vesicles from the membrane. Adaptor protein (AP) complexes like AP-1, AP-2, AP-3, and AP-4 link clathrin to membranes, aiding in cargo sorting and vesicle budding. AP-1 primarily associates with the trans-Golgi network, AP-2 with the plasma membrane, while AP-3 and AP-4 are involved in endosomes. Clathrin-sculpted vesicles transport neurotransmitters such as acetylcholine and gamma-aminobutyric acid, crucial for cellular communication and function.",GO:0030121_GO:0030123_GO:0030122_GO:0030132_GO:0030118_GO:0030119_GO:0071439_GO:0044599_GO:0005769_GO:0030124_GO:0098830_GO:0005905_GO:0060200_GO:0048475_GO:0030117_GO:0030139_GO:0061200_GO:0030665_GO:0030669_GO:0060201
CC,Topic_26,Collagen Trimers and Proton-Transporting ATPase Complexes: Structure and Function,"Collagen trimers, such as types I, III, and V, form fibrils and networks essential for tissue structure. Collagen types like IV and VI contribute to basement membranes and connective tissue scaffolding. Proton-transporting ATPase complexes, including V-type and F-type, utilize rotational mechanisms to synthesize or hydrolyze ATP while transporting protons across membranes. V-type ATPases are crucial for organelle function, while F-type ATPases, or ATP synthases, operate in oxidative phosphorylation. These ATPases are vital for energy production and cellular processes, linking structural integrity with energy metabolism.",GO:0016469_GO:0005589_GO:0005587_GO:0005588_GO:0005592_GO:0005594_GO:0005584_GO:0005590_GO:0033256_GO:0008385_GO:0045259_GO:0005591_GO:0033176_GO:0033178_GO:0005599_GO:0033180_GO:0005586_GO:0005596_GO:0005595_GO:0033257
CC,Topic_27,Diverse Protein Complexes in Chromatin Remodeling and GPI-anchor Biosynthesis,"Various protein complexes crucial for chromatin remodeling and cellular processes. The SAGA and NSL complexes, for example, play roles in histone acetylation, affecting gene expression and chromatin structure. The GPI-anchor complexes, including GPI-GnT and GPI-anchor transamidase, are involved in anchoring proteins to cell membranes. The R2TP complex, known for its involvement in assembly and maintenance of large protein complexes, and the PRC1 complex, which contributes to chromatin silencing, highlight the diverse functions these complexes perform in regulating gene expression and cellular function.",GO:0000124_GO:0000506_GO:0042765_GO:0043541_GO:0070461_GO:0044545_GO:0032777_GO:0035102_GO:0071819_GO:0070776_GO:0031519_GO:0035098_GO:0046695_GO:0072487_GO:0097344_GO:0097255_GO:0061793_GO:0005968_GO:0061773_GO:0031010
